Path	Content	URL	Form or Genre	Occurrence	MODS version

    /mods/titleInfo			Photograph negative	1	3.3
/mods/titleInfo/title	Parade, July 4 1942 - 1		Photograph negative	1	3.3

    /mods/name			Photograph negative	3	3.3
/mods/name/@type	corporate		Photograph negative	1	3.3
/mods/name/namePart	University of Lethbridge		Photograph negative	1	3.3
/mods/name/role			Photograph negative	1	3.3
/mods/name/role/roleTerm	digitizing institution		Photograph negative	1	3.3
/mods/name/role/roleTerm/@type	text		Photograph negative	1	3.3

    /mods/name			Photograph negative	3	3.3
/mods/name/@type	personal		Photograph negative	1	3.3
/mods/name/namePart	Thomas B. Magee, 1862-1930		Photograph negative	1	3.3
/mods/name/role			Photograph negative	1	3.3
/mods/name/role/roleTerm	photographer		Photograph negative	1	3.3
/mods/name/role/roleTerm/@type	text		Photograph negative	1	3.3

    /mods/name			Photograph negative	3	3.3
/mods/name/@type	personal		Photograph negative	1	3.3
/mods/name/namePart	Henry L. Magee, 1896-1966		Photograph negative	1	3.3
/mods/name/role			Photograph negative	1	3.3
/mods/name/role/roleTerm	photographer		Photograph negative	1	3.3
/mods/name/role/roleTerm/@type	text		Photograph negative	1	3.3

    /mods/originInfo			Photograph negative	1	3.3
/mods/originInfo/publisher			Photograph negative	1	3.3
/mods/originInfo/dateCaptured	2007-07-25		Photograph negative	1	3.3
/mods/originInfo/dateCreated	1942-07-04		Photograph negative	1	3.3

    /mods/language			Photograph negative	1	3.3
/mods/language/languageTerm	eng		Photograph negative	1	3.3
/mods/language/languageTerm/@authority	iso639-2b		Photograph negative	1	3.3
/mods/language/languageTerm/@type	code		Photograph negative	1	3.3

    /mods/note	A parade truck with women sitting in the back, with an
      American flag and a sign that reads "War Mothers."		Photograph negative	3	3.3
/mods/note/@type	public_description		Photograph negative	1	3.3

    /mods/subject			Photograph negative	8	3.3
/mods/subject/geographic	Montana		Photograph negative	1	3.3

    /mods/subject			Photograph negative	8	3.3
/mods/subject/topic	Photography Negatives		Photograph negative	1	3.3

    /mods/subject			Photograph negative	8	3.3
/mods/subject/topic	Blackfeet (USA)		Photograph negative	1	3.3

    /mods/subject			Photograph negative	8	3.3
/mods/subject/topic	Siksika		Photograph negative	1	3.3

    /mods/subject			Photograph negative	8	3.3
/mods/subject/topic	Parades		Photograph negative	1	3.3

    /mods/subject			Photograph negative	8	3.3
/mods/subject/topic	Flags		Photograph negative	1	3.3

    /mods/subject			Photograph negative	8	3.3
/mods/subject/topic	Women		Photograph negative	1	3.3

    /mods/subject			Photograph negative	8	3.3
/mods/subject/topic	Vehicles		Photograph negative	1	3.3

    /mods/typeOfResource	still image		Photograph negative	1	3.3

    /mods/genre	Photograph negative		Photograph negative	1	3.3

    /mods/physicalDescription			Photograph negative	1	3.3
/mods/physicalDescription/extent	61mm x 61mm		Photograph negative	1	3.3

    /mods/identifier	MGNGEN0263.tif		Photograph negative	1	3.3

    /mods/recordInfo			Photograph negative	1	3.3
/mods/recordInfo/recordContentSource	University of Lethbridge Library		Photograph negative	1	3.3
/mods/recordInfo/recordIdentifier	MGNGEN0263		Photograph negative	1	3.3

    /mods/relatedItem			Photograph negative	1	3.3
/mods/relatedItem/@type	original		Photograph negative	1	3.3
/mods/relatedItem/titleInfo			Photograph negative	1	3.3
/mods/relatedItem/titleInfo/title	Magee Collection, University of Alberta Special Collections		Photograph negative	1	3.3

    /mods/note	magee		Photograph negative	3	3.3
/mods/note/@type	local:oaiset		Photograph negative	1	3.3

/mods/note	images		Photograph negative	3	3.3
/mods/note/@type	local:oaiset		Photograph negative	1	3.3

/mods/location			Photograph negative	1	3.3
/mods/location/physicalLocation	University of Alberta, Bruce Peel Special Collections Library, Magee Photo Collection, Envelope 174, box of small negatives		Photograph negative	1	3.3
/mods/location/url	http://peel.library.ualberta.ca/magee/MGNGEN0263.html		Photograph negative	3	3.3
/mods/location/url/@usage	primary display		Photograph negative	1	3.3
/mods/location/url/@access	object in context		Photograph negative	1	3.3
/mods/location/url	http://peel.library.ualberta.ca/peelimages/MG/web/MGNGEN0263.jpg		Photograph negative	3	3.3
/mods/location/url/@note	width='589' height='600' 		Photograph negative	1	3.3
/mods/location/url/@access	raw object		Photograph negative	1	3.3
/mods/location/url	http://peel.library.ualberta.ca/peelimages/MG/thumbs/MGNGEN0263.jpg		Photograph negative	3	3.3
/mods/location/url/@note	width='196' height='200'		Photograph negative	1	3.3
/mods/location/url/@access	preview		Photograph negative	1	3.3

    
  
