Path	Content	URL	Form or Genre	Occurrence	MODS version

    /mods/titleInfo			Stereoscope card	1	3.3
/mods/titleInfo/title	Painted Lodges of the Blackfeet		Stereoscope card	1	3.3

    /mods/name			Stereoscope card	2	3.3
/mods/name/@type	corporate		Stereoscope card	1	3.3
/mods/name/namePart	University of Lethbridge		Stereoscope card	1	3.3
/mods/name/role			Stereoscope card	1	3.3
/mods/name/role/roleTerm	digitizing institution		Stereoscope card	1	3.3
/mods/name/role/roleTerm/@type	text		Stereoscope card	1	3.3

    /mods/name			Stereoscope card	2	3.3
/mods/name/@type	personal		Stereoscope card	1	3.3
/mods/name/namePart	Thomas B. Magee, 1862-1930		Stereoscope card	1	3.3
/mods/name/role			Stereoscope card	1	3.3
/mods/name/role/roleTerm	photographer		Stereoscope card	1	3.3
/mods/name/role/roleTerm/@type	text		Stereoscope card	1	3.3

    /mods/originInfo			Stereoscope card	1	3.3
/mods/originInfo/publisher	N. A. Forsyth (Butte, Mont.)		Stereoscope card	1	3.3
/mods/originInfo/dateCaptured	2007-07-05		Stereoscope card	1	3.3
/mods/originInfo/dateCreated	1900		Stereoscope card	2	3.3
/mods/originInfo/dateCreated/@point	start		Stereoscope card	1	3.3
/mods/originInfo/dateCreated	1908		Stereoscope card	2	3.3
/mods/originInfo/dateCreated/@point	end		Stereoscope card	1	3.3

    /mods/language			Stereoscope card	1	3.3
/mods/language/languageTerm	eng		Stereoscope card	1	3.3
/mods/language/languageTerm/@authority	iso639-2b		Stereoscope card	1	3.3
/mods/language/languageTerm/@type	code		Stereoscope card	1	3.3

    /mods/note	A stereoscope card showing a man and woman standing outside
      a circle of painted tipis. The woman is carrying a small child on her back.		Stereoscope card	3	3.3
/mods/note/@type	public_description		Stereoscope card	1	3.3

    /mods/subject			Stereoscope card	8	3.3
/mods/subject/geographic	Montana		Stereoscope card	1	3.3

    /mods/subject			Stereoscope card	8	3.3
/mods/subject/topic	Photography, stereoscopic		Stereoscope card	1	3.3

    /mods/subject			Stereoscope card	8	3.3
/mods/subject/topic	Blackfeet (USA)		Stereoscope card	1	3.3

    /mods/subject			Stereoscope card	8	3.3
/mods/subject/topic	Blackfeet (USA) - Dwellings		Stereoscope card	1	3.3

    /mods/subject			Stereoscope card	8	3.3
/mods/subject/topic	Blackfeet (USA) - Women		Stereoscope card	1	3.3

    /mods/subject			Stereoscope card	8	3.3
/mods/subject/topic	Blackfeet (USA) - Children		Stereoscope card	1	3.3

    /mods/subject			Stereoscope card	8	3.3
/mods/subject/topic	Tipis		Stereoscope card	1	3.3

    /mods/subject			Stereoscope card	8	3.3
/mods/subject/topic	Siksika		Stereoscope card	1	3.3

    /mods/typeOfResource	still image		Stereoscope card	1	3.3

    /mods/genre	Stereoscope card		Stereoscope card	1	3.3

    /mods/physicalDescription			Stereoscope card	1	3.3
/mods/physicalDescription/extent	178mm x 89mm		Stereoscope card	1	3.3

    /mods/identifier	MGSTBF028.tif		Stereoscope card	1	3.3

    /mods/recordInfo			Stereoscope card	1	3.3
/mods/recordInfo/recordContentSource	University of Lethbridge Library		Stereoscope card	1	3.3
/mods/recordInfo/recordIdentifier	MGSTBF028		Stereoscope card	1	3.3

    /mods/relatedItem			Stereoscope card	1	3.3
/mods/relatedItem/@type	original		Stereoscope card	1	3.3
/mods/relatedItem/titleInfo			Stereoscope card	1	3.3
/mods/relatedItem/titleInfo/title	Magee Collection, University of Alberta Special Collections		Stereoscope card	1	3.3

    /mods/note	magee		Stereoscope card	3	3.3
/mods/note/@type	local:oaiset		Stereoscope card	1	3.3

/mods/note	images		Stereoscope card	3	3.3
/mods/note/@type	local:oaiset		Stereoscope card	1	3.3

/mods/location			Stereoscope card	1	3.3
/mods/location/physicalLocation	University of Alberta, Bruce Peel Special Collections Library, Magee Photo Collection, The Blackfeet Through the Stereoscope		Stereoscope card	1	3.3
/mods/location/url	http://peel.library.ualberta.ca/magee/MGSTBF028.html		Stereoscope card	3	3.3
/mods/location/url/@usage	primary display		Stereoscope card	1	3.3
/mods/location/url/@access	object in context		Stereoscope card	1	3.3
/mods/location/url	http://peel.library.ualberta.ca/peelimages/MG/web/MGSTBF028.jpg		Stereoscope card	3	3.3
/mods/location/url/@note	width='1000' height='505' 		Stereoscope card	1	3.3
/mods/location/url/@access	raw object		Stereoscope card	1	3.3
/mods/location/url	http://peel.library.ualberta.ca/peelimages/MG/thumbs/MGSTBF028.jpg		Stereoscope card	3	3.3
/mods/location/url/@note	width='200' height='101'		Stereoscope card	1	3.3
/mods/location/url/@access	preview		Stereoscope card	1	3.3

    
  
